strategy,buffer_scenario,buffer_fraction,cost_scenario,cycle_cost_bps,return_on_notional,return_on_capital_employed,capital_employed_usdt_per_100_notional,funding_received_paid_return,funding_received_paid_usdt_per_100_notional,execution_hedge_return,execution_hedge_usdt_per_100_notional,cost_return,cost_usdt_per_100_notional,max_drawdown,worst_margin_balance_usdt,worst_maintenance_to_equity,margin_violation_count,first_violation_observed_at_utc,effective_exposure,turnover_events,oos_start_utc,oos_net_return,oos_max_drawdown,oos_margin_violation_count,oos_worst_maintenance_to_equity,always_on_oos_net_return,always_on_oos_max_drawdown,risk_improved_vs_always_on_oos,net_not_destroyed_vs_always_on_oos,candidate_by_predeclared_oos_rule
enter_0_5bp_exit_0bp_hold_24h,buffer_25pct,0.25,fee_only,31,-0.04190210003262862,-0.033521680026102896,125.0,0.006274170000000001,0.6274170000000001,0.0005629143740302212,0.056291437403022115,0.04959999999999999,4.959999999999999,-0.04190210003262862,17.48841689875648,0.3074581871069478,0,,0.5481415136587551,32.0,2026-06-27 12:00:00+00:00,-0.023537631790195634,-0.023537631790195634,0,0.28761243633492267,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_0_5bp_exit_0bp_hold_24h,buffer_25pct,0.25,base,50,-0.07064717782085173,-0.05651774225668138,125.0,0.006274170000000001,0.6274170000000001,0.0005629143740302212,0.056291437403022115,0.08,8.0,-0.07064717782085173,17.48841689875648,0.3074581871069478,0,,0.5481415136587551,32.0,2026-06-27 12:00:00+00:00,-0.04012669736408703,-0.04012669736408703,0,0.28761243633492267,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_0_5bp_exit_0bp_hold_24h,buffer_25pct,0.25,stress,100,-0.14235715547771677,-0.11388572438217341,125.0,0.006274170000000001,0.6274170000000001,0.0005629143740302212,0.056291437403022115,0.16,16.0,-0.14235715547771677,17.48841689875648,0.3074581871069478,0,,0.5481415136587551,32.0,2026-06-27 12:00:00+00:00,-0.08251950032762545,-0.08251950032762545,0,0.28761243633492267,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_0_5bp_exit_0bp_hold_24h,buffer_50pct,0.5,fee_only,31,-0.04190210003262862,-0.027934733355085745,150.0,0.006274170000000001,0.6274170000000001,0.0005629143740302212,0.056291437403022115,0.04959999999999999,4.959999999999999,-0.04190210003262862,42.488416898756476,0.12655112493069956,0,,0.5481415136587551,32.0,2026-06-27 12:00:00+00:00,-0.023537631790195634,-0.023537631790195634,0,0.12241818131318556,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_0_5bp_exit_0bp_hold_24h,buffer_50pct,0.5,base,50,-0.07064717782085173,-0.04709811854723448,150.0,0.006274170000000001,0.6274170000000001,0.0005629143740302212,0.056291437403022115,0.08,8.0,-0.07064717782085173,42.488416898756476,0.12655112493069956,0,,0.5481415136587551,32.0,2026-06-27 12:00:00+00:00,-0.04012669736408703,-0.04012669736408703,0,0.12241818131318556,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_0_5bp_exit_0bp_hold_24h,buffer_50pct,0.5,stress,100,-0.14235715547771677,-0.09490477031847784,150.0,0.006274170000000001,0.6274170000000001,0.0005629143740302212,0.056291437403022115,0.16,16.0,-0.14235715547771677,42.488416898756476,0.12655112493069956,0,,0.5481415136587551,32.0,2026-06-27 12:00:00+00:00,-0.08251950032762545,-0.08251950032762545,0,0.12241818131318556,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_0_5bp_exit_0bp_hold_24h,buffer_100pct,1.0,fee_only,31,-0.04190210003262862,-0.02095105001631431,200.0,0.006274170000000001,0.6274170000000001,0.0005629143740302212,0.056291437403022115,0.04959999999999999,4.959999999999999,-0.04190210003262862,92.48841689875648,0.058136544395047056,0,,0.5481415136587551,32.0,2026-06-27 12:00:00+00:00,-0.023537631790195634,-0.023537631790195634,0,0.05697239071478287,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_0_5bp_exit_0bp_hold_24h,buffer_100pct,1.0,base,50,-0.07064717782085173,-0.03532358891042586,200.0,0.006274170000000001,0.6274170000000001,0.0005629143740302212,0.056291437403022115,0.08,8.0,-0.07064717782085173,92.48841689875648,0.058136544395047056,0,,0.5481415136587551,32.0,2026-06-27 12:00:00+00:00,-0.04012669736408703,-0.04012669736408703,0,0.05697239071478287,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_0_5bp_exit_0bp_hold_24h,buffer_100pct,1.0,stress,100,-0.14235715547771677,-0.07117857773885838,200.0,0.006274170000000001,0.6274170000000001,0.0005629143740302212,0.056291437403022115,0.16,16.0,-0.14235715547771677,92.48841689875648,0.058136544395047056,0,,0.5481415136587551,32.0,2026-06-27 12:00:00+00:00,-0.08251950032762545,-0.08251950032762545,0,0.05697239071478287,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_0_5bp_exit_0bp_hold_48h,buffer_25pct,0.25,fee_only,31,-0.03590992100784973,-0.028727936806279785,125.0,0.0063985199999999996,0.639852,0.00046885382613692794,0.046885382613692794,0.043399999999999994,4.34,-0.03590992100784973,17.48841689875648,0.3074581871069478,0,,0.58038513210927,28.0,2026-06-27 12:00:00+00:00,-0.017252131477617838,-0.017252131477617838,0,0.28761243633492267,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_0_5bp_exit_0bp_hold_48h,buffer_25pct,0.25,base,50,-0.06126720226873139,-0.04901376181498511,125.0,0.0063985199999999996,0.639852,0.00046885382613692794,0.046885382613692794,0.07,7.000000000000001,-0.06126720226873139,17.48841689875648,0.3074581871069478,0,,0.58038513210927,28.0,2026-06-27 12:00:00+00:00,-0.030262575299063177,-0.030262575299063177,0,0.28761243633492267,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_0_5bp_exit_0bp_hold_48h,buffer_25pct,0.25,stress,100,-0.12496168511002004,-0.09996934808801602,125.0,0.0063985199999999996,0.639852,0.00046885382613692794,0.046885382613692794,0.14,14.000000000000002,-0.12496168511002004,17.48841689875648,0.3074581871069478,0,,0.58038513210927,28.0,2026-06-27 12:00:00+00:00,-0.06374032651542427,-0.06374032651542427,0,0.28761243633492267,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_0_5bp_exit_0bp_hold_48h,buffer_50pct,0.5,fee_only,31,-0.03590992100784973,-0.023939947338566487,150.0,0.0063985199999999996,0.639852,0.00046885382613692794,0.046885382613692794,0.043399999999999994,4.34,-0.03590992100784973,42.488416898756476,0.12655112493069956,0,,0.58038513210927,28.0,2026-06-27 12:00:00+00:00,-0.017252131477617838,-0.017252131477617838,0,0.12241818131318556,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_0_5bp_exit_0bp_hold_48h,buffer_50pct,0.5,base,50,-0.06126720226873139,-0.040844801512487594,150.0,0.0063985199999999996,0.639852,0.00046885382613692794,0.046885382613692794,0.07,7.000000000000001,-0.06126720226873139,42.488416898756476,0.12655112493069956,0,,0.58038513210927,28.0,2026-06-27 12:00:00+00:00,-0.030262575299063177,-0.030262575299063177,0,0.12241818131318556,0.0028670506386518912,-0.0025184151327440896,False,False,False
