strategy,buffer_scenario,buffer_fraction,cost_scenario,cycle_cost_bps,return_on_notional,return_on_capital_employed,capital_employed_usdt_per_100_notional,funding_received_paid_return,funding_received_paid_usdt_per_100_notional,execution_hedge_return,execution_hedge_usdt_per_100_notional,cost_return,cost_usdt_per_100_notional,max_drawdown,worst_margin_balance_usdt,worst_maintenance_to_equity,margin_violation_count,first_violation_observed_at_utc,effective_exposure,turnover_events
always_on,buffer_25pct,0.25,fee_only,31,0.005080508426665853,0.004064406741332682,125.0,0.008164290000000001,0.8164290000000001,1.3407644889107395e-05,0.0013407644889107395,0.0031,0.31,-0.0016861612342041754,24.60076359668451,0.20407882057947166,0,,0.999552171965965,2.0
always_on,buffer_25pct,0.25,base,50,0.0031689162247166003,0.00253513297977328,125.0,0.008164290000000001,0.8164290000000001,1.3407644889107395e-05,0.0013407644889107395,0.005,0.5,-0.002635935291147251,24.60076359668451,0.20407882057947166,0,,0.999552171965965,2.0
always_on,buffer_25pct,0.25,stress,100,-0.0018528948650406996,-0.0014823158920325597,125.0,0.008164290000000001,0.8164290000000001,1.3407644889107395e-05,0.0013407644889107395,0.01,1.0,-0.0051353407041561105,24.60076359668451,0.20407882057947166,0,,0.999552171965965,2.0
always_on,buffer_50pct,0.5,fee_only,31,0.005080508426665853,0.0033870056177772354,150.0,0.008164290000000001,0.8164290000000001,1.3407644889107395e-05,0.0013407644889107395,0.0031,0.31,-0.0016861612342041754,49.60076359668451,0.10121809537023667,0,,0.999552171965965,2.0
always_on,buffer_50pct,0.5,base,50,0.0031689162247166003,0.0021126108164777335,150.0,0.008164290000000001,0.8164290000000001,1.3407644889107395e-05,0.0013407644889107395,0.005,0.5,-0.002635935291147251,49.60076359668451,0.10121809537023667,0,,0.999552171965965,2.0
always_on,buffer_50pct,0.5,stress,100,-0.0018528948650406996,-0.0012352632433604664,150.0,0.008164290000000001,0.8164290000000001,1.3407644889107395e-05,0.0013407644889107395,0.01,1.0,-0.0051353407041561105,49.60076359668451,0.10121809537023667,0,,0.999552171965965,2.0
always_on,buffer_100pct,1.0,fee_only,31,0.005080508426665853,0.0025402542133329264,200.0,0.008164290000000001,0.8164290000000001,1.3407644889107395e-05,0.0013407644889107395,0.0031,0.31,-0.0016861612342041754,99.6007635966845,0.05040618805389256,0,,0.999552171965965,2.0
always_on,buffer_100pct,1.0,base,50,0.0031689162247166003,0.0015844581123583001,200.0,0.008164290000000001,0.8164290000000001,1.3407644889107395e-05,0.0013407644889107395,0.005,0.5,-0.002635935291147251,99.6007635966845,0.05040618805389256,0,,0.999552171965965,2.0
always_on,buffer_100pct,1.0,stress,100,-0.0018528948650406996,-0.0009264474325203498,200.0,0.008164290000000001,0.8164290000000001,1.3407644889107395e-05,0.0013407644889107395,0.01,1.0,-0.0051353407041561105,99.6007635966845,0.05040618805389256,0,,0.999552171965965,2.0
positive_last_settled_funding,buffer_25pct,0.25,fee_only,31,-0.09895942206454256,-0.07916753765163405,125.0,0.0075831200000000005,0.7583120000000001,-9.624893619042396e-05,-0.009624893619042396,0.11159999999999998,11.159999999999998,-0.09895942206454256,16.235715885342245,0.33522738659442597,0,,0.7595163457232422,72.0
positive_last_settled_funding,buffer_25pct,0.25,base,50,-0.15864655606302436,-0.1269172448504195,125.0,0.0075831200000000005,0.7583120000000001,-9.624893619042396e-05,-0.009624893619042396,0.18,18.0,-0.15864655606302436,16.235715885342245,0.33522738659442597,0,,0.7595163457232422,72.0
