strategy,buffer_scenario,buffer_fraction,cost_scenario,fee_multiplier,return_on_notional,return_on_capital_employed,capital_employed_usdt_per_100_notional,funding_received_paid_return,funding_received_paid_usdt_per_100_notional,execution_hedge_return,execution_hedge_usdt_per_100_notional,actual_fee_return,spread_slippage_proxy_return,cost_return,cost_usdt_per_100_notional,max_drawdown,worst_margin_balance_usdt,worst_maintenance_to_equity,margin_violation_count,first_violation_observed_at_utc,effective_exposure,turnover_events,analysis_window_start_utc,analysis_window_end_utc_exclusive,mark_price_change_over_window,worst_adverse_short_excursion,policy_breach_rise_from_entry
always_on,buffer_25pct,0.25,fee_only,1.0,-0.0026997314644314763,-0.002159785171545181,125.0,0.00329499,0.329499,-0.0025252891528459998,-0.2525289152846,0.0034641152278621712,0.0,0.0034641152278621712,0.3464115227862171,-0.004449597370021707,1.6211602607269293,3.815425955599299,1,2023-10-23 23:00:00+00:00,0.06820436507936507,2.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
always_on,buffer_25pct,0.25,base,1.5,-0.0044293442191637444,-0.0035434753753309954,125.0,0.00329499,0.329499,-0.0025252891528459998,-0.2525289152846,0.0034641152278621712,0.0017320576139310856,0.005196172841793257,0.5196172841793257,-0.005404361192438145,1.6211602607269293,3.815425955599299,1,2023-10-23 23:00:00+00:00,0.06820436507936507,2.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
always_on,buffer_25pct,0.25,stress,3.0,-0.00960927600392758,-0.0076874208031420645,125.0,0.00329499,0.329499,-0.0025252891528459998,-0.2525289152846,0.0034641152278621712,0.0069282304557243424,0.010392345683586515,1.0392345683586515,-0.00960927600392758,1.6211602607269293,3.815425955599299,1,2023-10-23 23:00:00+00:00,0.06820436507936507,2.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
always_on,buffer_50pct,0.5,fee_only,1.0,0.013921936200991913,0.009281290800661276,150.0,0.018917510000000005,1.8917510000000006,-0.0012512737786968264,-0.12512737786968264,0.003813863282697295,0.0,0.003813863282697295,0.3813863282697295,-0.002569060126517253,5.722492571367683,1.2771467730686603,1,2023-12-02 20:00:00+00:00,0.18687996031746032,2.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
always_on,buffer_50pct,0.5,base,1.5,0.011985582907271697,0.007990388604847798,150.0,0.018917510000000005,1.8917510000000006,-0.0012512737786968264,-0.12512737786968264,0.003813863282697295,0.0019069316413486475,0.005720794924045943,0.5720794924045942,-0.0037007833429634207,5.722492571367683,1.2771467730686603,1,2023-12-02 20:00:00+00:00,0.18687996031746032,2.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
always_on,buffer_50pct,0.5,stress,3.0,0.006187235982554551,0.004124823988369701,150.0,0.018917510000000005,1.8917510000000006,-0.0012512737786968264,-0.12512737786968264,0.003813863282697295,0.00762772656539459,0.011441589848091885,1.1441589848091884,-0.007095952992302035,5.722492571367683,1.2771467730686603,1,2023-12-02 20:00:00+00:00,0.18687996031746032,2.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
always_on,buffer_100pct,1.0,fee_only,1.0,0.04997647085764312,0.02498823542882156,200.0,0.05554227000000002,5.554227000000002,-0.00212982189583788,-0.212982189583788,0.004585162282326788,0.0,0.004585162282326788,0.4585162282326788,-0.003641019155230296,9.508372274590826,1.0309117536831276,1,2024-02-20 14:00:00+00:00,0.4242311507936508,2.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
always_on,buffer_100pct,1.0,base,1.5,0.04756450030631165,0.023782250153155826,200.0,0.05554227000000002,5.554227000000002,-0.00212982189583788,-0.212982189583788,0.004585162282326788,0.002292581141163394,0.0068777434234901826,0.6877743423490182,-0.005157815946191691,9.508372274590826,1.0309117536831276,1,2024-02-20 14:00:00+00:00,0.4242311507936508,2.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
always_on,buffer_100pct,1.0,stress,3.0,0.04034347329999988,0.02017173664999994,200.0,0.05554227000000002,5.554227000000002,-0.00212982189583788,-0.212982189583788,0.004585162282326788,0.009170324564653576,0.013755486846980365,1.3755486846980365,-0.009708206319076318,9.508372274590826,1.0309117536831276,1,2024-02-20 14:00:00+00:00,0.4242311507936508,2.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
positive_last_settled_funding,buffer_25pct,0.25,fee_only,1.0,-0.022582707896085852,-0.018066166316868682,125.0,0.00556685,0.556685,-0.0030910312558904973,-0.30910312558904973,0.025286954569721805,0.0,0.025286954569721805,2.5286954569721805,-0.02305007393603331,4.94528123679079,1.2171958681295743,1,2023-11-01 21:00:00+00:00,0.0818452380952381,16.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
