strategy,cost_scenario,net_return,gross_return,funding_return,basis_plus_price_return,max_drawdown,annualized_volatility,turnover_events,exposure
always_on,optimistic_documented_fee_only,0.0066213437174942325,0.008183870387302505,0.008164290000000001,1.3407644889107395e-05,-0.0016861612342041754,0.008345058962330256,1.0,0.999552171965965
always_on,base_conservative,0.005663666081164198,0.008183870387302505,0.008164290000000001,1.3407644889107395e-05,-0.002635935291147251,0.009165791466182273,1.0,0.999552171965965
always_on,stress,0.003143461775022116,0.008183870387302505,0.008164290000000001,1.3407644889107395e-05,-0.0051353407041561105,0.01247729402860391,1.0,0.999552171965965
positive_last_settled_funding,optimistic_documented_fee_only,-0.09757808483900565,0.007489646931905902,0.0075831200000000005,-9.624893619042396e-05,-0.0981347825894946,0.02632377319442373,71.0,0.7595163457232422
positive_last_settled_funding,base_conservative,-0.15655422011686826,0.007489646931905902,0.0075831200000000005,-9.624893619042396e-05,-0.15707453590312292,0.0416014211048811,71.0,0.7595163457232422
positive_last_settled_funding,stress,-0.29420258552509027,0.007489646931905902,0.0075831200000000005,-9.624893619042396e-05,-0.2946379870000966,0.08239880709344041,71.0,0.7595163457232422
funding_above_threshold,optimistic_documented_fee_only,-0.10269998621753385,0.004883674166623164,0.00380355,0.0010897201199998596,-0.10285292991055639,0.026027419428416868,73.0,0.28302731751007615
funding_above_threshold,base_conservative,-0.16293631827798727,0.004883674166623164,0.00380355,0.0010897201199998596,-0.16307899476167287,0.04172092021905618,73.0,0.28302731751007615
funding_above_threshold,stress,-0.3030492823962322,0.004883674166623164,0.00380355,0.0010897201199998596,-0.3031680767960626,0.08324609637425476,73.0,0.28302731751007615
positive_funding_low_vol_or_basis,optimistic_documented_fee_only,-0.09273442946338961,0.003513357542372253,0.00410796,-0.000578115035191118,-0.09329411523090947,0.024815595622713953,65.0,0.43708016121809223
positive_funding_low_vol_or_basis,base_conservative,-0.14716981006723284,0.003513357542372253,0.00410796,-0.000578115035191118,-0.1476959150302305,0.03956844511807653,65.0,0.43708016121809223
positive_funding_low_vol_or_basis,stress,-0.27552290567065074,0.003513357542372253,0.00410796,-0.000578115035191118,-0.27596983050915214,0.0787556032672358,65.0,0.43708016121809223
